question,ground_truth,type,sources
"In HDFC Bank's Standing Instruction (SI) illustration where the SI is set for the Total Amount Due (TAD) of ₹10,000 but the system can recover only ₹500 (equal to the Minimum Amount Due) due to insufficient funds, is a payment return fee levied, and on what amount?","Yes. Per HDFC Bank's MITC illustration (Scenario 1), even though the amount recovered equals the Minimum Amount Due (₹500), a payment return fee is still levied, because the SI was set up for the Total Amount Due, not the MAD. The fee is levied on the net payable amount, i.e., ₹10,000 − ₹500 = ₹9,500. Paying only the MAD does not by itself avoid the payment return fee on an SI set up for the TAD.",single_document,data\HDFC.pdf
"What is the annual membership fee (2nd year onwards) for the RBL Bank Club Concierge Card, and under what spending condition is it waived?","The RBL Bank Club Concierge Card has an annual fee of Rs.5,000/- from the 2nd year onwards, which is waived on spends of Rs.500,000/- (₹5 Lakh) or more in the preceding year.",single_document,data\RBL.pdf
How does the available credit limit and available cash limit get updated in a credit card account?,"The available Credit Limit and Available Cash Limit in Your Credit Card Account gets updated every time a Transaction or Cash Advance is performed or refunded, a payment is posted, or any fee and charges are posted or reversed from Your Credit Card Account.",single_document,data\CITY.pdf
"What is the annual fee for the SBI Card MILES PRIME, and under what annual spending condition is the renewal fee waived?","The annual fee for the SBI Card MILES PRIME is Rs.2,999, and the renewal fee of Rs.2,999 is waived off on annual spends of Rs.10 Lakh or more in the preceding year.",single_document,data\SBI.pdf
"Within what period will HDFC Bank address a customer grievance, and what recourse does the customer have if it is not resolved within that period?","HDFC Bank will address a customer grievance within a period of 30 days. If the issue remains unresolved, or if the customer has not received a response within 30 days of lodging the complaint, the customer may approach the Banking Ombudsman appointed by the Reserve Bank of India.",single_document,data\HDFC.pdf
"What is the validity period for Reward Points on the HDFC Infinia (including Infinia Metal Edition) card, and what transitional rule applies to cardmembers who held their card on or before 30th June 2015 when they receive a new card due to upgrade/migration/replacement/renewal/re-issuance on or after 18th March 2020?","For Infinia/Infinia (Metal Edition)/Diners Black Metal Edition/Diners Black/BizBlack Metal Cards, Reward Points are valid for 3 years from the date of card upgrade/migration, replacement, renewal, or re-issuance. Separately, for cardmembers who were cardmembers on or before 30th June 2015: w.e.f. 18th March 2020, when they receive a new credit card due to upgrade/migration/replacement/renewal/re-issuance, Reward Points already accumulated earlier will have limited validity of between 1 to 3 years from the date of transfer, depending on the card variant.",multi_hop,data\HDFC.pdf
What is the Dynamic Currency Conversion (DCC) fee for the MakeMyTrip ICICI Bank Credit Card that is not a Signature or Platinum card?,0.99%,single_document,data\ICICI.pdf
"What are the Late Payment Charges on YES BANK credit cards, and which card variant is exempt from them?","YES BANK levies no late payment charge if the current outstanding amount (statement balance + unbilled) is up to INR 500. If it is above INR 500, the charge is 10% of the statement balance or INR 1,350, whichever is lower, per statement. Late Payment Charges are waived for the YES Private credit card.",single_document,data\YES.pdf
What is the period within which the bank updates the status after the settlement of dues if the cardholder pays the Minimum Amount Due or the total amount due after the expiry of 7 days' notice period?,30 (thirty) days,single_document,data\HDFC.pdf
What is the policy for recovering dues in the case of the Cardmember's death or permanent incapacitation?,"Upon death or permanent incapacitation of the Cardmember, the Bank will try to recover the amount due and amicably settle the Account dues with the Cardmember's legal heir.",single_document,data\RBL.pdf
What is the Cheque Return / Dishonour Fee and Auto Debit reversal fee for an RBL Bank Credit Card when the bank account is out of funds?,The Cheque Return/Dishonour Fee and Auto Debit reversal fee for an RBL Bank Credit Card when the bank account is out of funds is Rs.500/-.,single_document,data\RBL.pdf
"What is the annual membership fee for the RBL Bank Club Concierge Card and under what spending condition is it waived, and how does this compare to the Monthly Fee reversal mechanism for the Pro 49 Plan of ICICI Bank's Mine Credit Card?","The RBL Bank Club Concierge Card carries an annual fee of Rs.5,000/- (2nd year onwards), waived on spends of Rs.500,000/- (₹5 Lakh) or more in the preceding year -- an annual, spend-based waiver. In contrast, ICICI Bank's Mine Credit Card (Pro 49 Plan) charges a Monthly Fee of ₹49, which is reversed (credited as Mine Cash) if spends on the card reach ₹10,000 or more within that calendar month's plan cycle -- a monthly, spend-based reversal rather than an annual one. Spends through EMI transactions are excluded from these spend calculations on both cards' broader annual-fee-reversal logic.",cross_document,"data\RBL.pdf, data\ICICI.pdf"
What is the capital of France?,I could not answer this question.,general,
Compare the cash advance fee charged by SBI Card and YES BANK on ATM cash withdrawals.,"SBI Card charges 2.5% of the transaction amount or Rs.500, whichever is higher, on cash withdrawals at both domestic and international ATMs. YES BANK, effective 15th June 2026, charges 2.5% of the transaction amount or INR 650, whichever is higher (prior to 15th June 2026 it was INR 500); this fee is waived for YES Private and AI Inside credit cards, and is not applicable for any virtual credit card.",cross_document,"data\SBI.pdf, data\YES.pdf"
How do the monthly finance charges on revolving credit compare between SBI Card and YES BANK credit cards?,"SBI Card charges finance charges of up to 3.75% per month (45% per annum) for unsecured cards and 2.75% per month (33% per annum) for Shaurya, Defence, and Secured cards, with a minimum finance charge of Rs.25. YES BANK charges 2.99% per month (35.88% per annum) for YES Private, YES Private Prime, Marquee, and Reserv cards, and up to 3.99% per month (47.88% per annum) for other credit cards.",cross_document,"data\SBI.pdf, data\YES.pdf"
